id,attacker_id,flag_id,attacker_delta,victim_delta,timestamp
28961,6,9584,1.798199024,0,2022-06-16 12:00:21.2324+00
31014,2,9951,8.394464231,-8.394464231,2022-06-16 12:11:04.838705+00
52673,4,13629,1.809230455,-1.809230455,2022-06-16 14:06:12.021057+00
22357,3,8749,9.839866652,-9.839866652,2022-06-16 11:34:06.418183+00
25499,1,9201,9.393023679,-9.393023679,2022-06-16 11:48:23.105177+00
22372,6,8805,14.27745727,-14.27745727,2022-06-16 11:34:07.900699+00
25500,1,9193,9.204470016,-9.204470016,2022-06-16 11:48:23.108481+00
25501,1,9209,9.191203595,-9.191203595,2022-06-16 11:48:23.109299+00
22397,3,8815,16.64515183,-16.64515183,2022-06-16 11:34:08.562572+00
25502,1,9177,9.280527258,-9.280527258,2022-06-16 11:48:23.110072+00
25519,6,9211,5.742299933,-5.742299933,2022-06-16 11:48:27.267161+00
33268,6,10365,2.722689572,-2.722689572,2022-06-16 12:22:36.428595+00
49398,7,12970,5.415374455,-5.415374455,2022-06-16 13:48:58.816948+00
27478,4,9390,7.182347548,-7.182347548,2022-06-16 11:54:16.880583+00
27479,4,9391,6.990095487,-6.990095487,2022-06-16 11:54:16.884782+00
27480,4,9455,6.966543644,-6.966543644,2022-06-16 11:54:16.885762+00
25623,1,9042,22.13653891,-22.13653891,2022-06-16 11:49:05.104527+00
27481,4,9470,5.583542908,-5.583542908,2022-06-16 11:54:16.887541+00
27482,4,9406,5.5659815,-5.5659815,2022-06-16 11:54:16.88841+00
27483,4,9407,5.352928171,-5.352928171,2022-06-16 11:54:16.889301+00
22515,6,8789,12.27587816,-12.27587816,2022-06-16 11:34:39.641963+00
27484,4,9471,5.336585785,-5.336585785,2022-06-16 11:54:16.890162+00
27485,4,9374,8.19915492,-8.19915492,2022-06-16 11:54:16.890885+00
27486,4,9438,8.169683001,-8.169683001,2022-06-16 11:54:16.891675+00
27487,4,9439,7.979337753,-7.979337753,2022-06-16 11:54:16.892473+00
